,link,h1_element
0,https://www.accenture.com/in-en/careers/jobdetails?id=326269_india_1,IT Financial Management
1,https://www.accenture.com/in-en/careers/jobdetails?id=346318_india_1,Microsoft User Interface Design Application Developer
2,https://www.accenture.com/in-en/careers/jobdetails?id=356265_india_1,Apache Spark Application Developer
3,https://www.accenture.com/in-en/careers/jobdetails?id=373368_india_1,Spring Boot Application Developer
4,https://www.accenture.com/in-en/careers/jobdetails?id=394698_india_1,Microsoft Windows Server Administration
5,https://www.accenture.com/in-en/careers/jobdetails?id=396868_india_1,Enterprise Network Operations Technology Architect
6,https://www.accenture.com/in-en/careers/jobdetails?id=403379_india_1,Pegasystems Pega Marketing Application Developer
7,https://www.accenture.com/in-en/careers/jobdetails?id=436784_india_1,Thank you for your interest in Accenture
8,https://www.accenture.com/in-en/careers/jobdetails?id=445699_india_1,Thank you for your interest in Accenture
9,https://www.accenture.com/in-en/careers/jobdetails?id=447178_india_1,Thank you for your interest in Accenture
